Name,Latitude,Longitude,Category
Carmine Café,48.851563,2.300528,Pizzeria
Café le Piquet,48.851011,2.300366,Café
Le Café du Commerce,48.846451,2.295541,French Restaurant
Castel Cafe,48.856945,2.292171,Bar
Café Beaugrenelle,48.846422,2.285544,Bar
Le Bar des vedettes,48.858742,2.291765,Bar
Café la Belle Poule,48.876665,2.301102,Bistro
Café Ponce,48.879218,2.296882,Bistro
Café Gabrielle,48.883864,2.305206,Bistro
Café Marion,48.874926,2.303922,Coffee Shop
Café de l'Avenue,48.87511,2.305754,Bar
D.S Café,48.881112,2.295188,Coffee Shop
Café Jacquemart-André,48.875416,2.310587,Café
Le Dumas (Le Café Dumas),48.882402,2.312153,French Restaurant
M M Café,48.876387,2.294306,Bar
Café Latéral,48.875379,2.294987,Bar
Havane Café,48.830368,2.347636,Sports Bar
Café Noisette,48.833021,2.34718,Café
Café de France,48.831342,2.354158,Café
Café Margeride,48.8307,2.354457,Bar
Café d'Italie,48.832184,2.354755,Italian Restaurant
Café Premier,48.836026,2.350033,Coffee Shop
JPL Cafe Coton,48.829019,2.356018,Men's Store
Le Break Café,48.833682,2.355405,French Restaurant
Le Café Canon,48.826063,2.357063,French Restaurant
Café des Peupliers,48.823982,2.352793,Diner
L'Orillon Bar,48.870277,2.376225,Wine Bar
Cannibale Café,48.86844,2.379325,Restaurant
Onze Bar,48.868119,2.378097,Bar
Le Bar Floréal,48.870335,2.384432,Photographer
Café Chéri,48.874109,2.375281,Dive Bar
Café Lux,48.867646,2.375832,Vietnamese Restaurant
Café de Paris,48.866652,2.382283,Bar
Jane Café,48.871842,2.371754,Bar
Café Ménilmontant,48.866729,2.382846,Bistro
Botzaris Café,48.875843,2.381841,Brasserie
"Picadeli (Picadeli, bar à salades)",48.823929,2.326135,Salad Restaurant
"Picadeli (Picadeli, bar à salades)",48.82663,2.326115,Salad Restaurant
Café Signes,48.825915,2.322671,Bar
"Picadeli (Picadeli, Bar à Salades)",48.817406,2.330484,Salad Restaurant
Café Chinchin,48.824053,2.335815,Bar
Café Bar d'Orléans,48.830215,2.329143,Bar
Green Café,48.831073,2.328803,Dining and Drinking
Fourteen Cafe,48.830394,2.333551,Bar
Café Daguerre,48.833412,2.331337,Café
Cafe Store,48.833225,2.322907,Café
Café la Pêche,48.863291,2.446897,Concert Hall
Café Salé,48.863095,2.440586,Restaurant
"Picadeli (Picadeli, bar à salades)",48.86153,2.44226,Salad Restaurant
Cross Diner Bar,48.858678,2.436353,Burger Joint
Bar du Marché,48.85829,2.433452,Bar
New Jack Café,48.854907,2.43879,BBQ Joint
Café Hôtel Restaurant le Bellevue,48.867014,2.422672,Hotel
Le Montana Bar,48.852697,2.431171,Bar
LAURENT DUCHÊNE Vincennes pâtisserie et café boutique,48.847855,2.438202,Pastry Shop
Novotel Cafe,48.86339,2.415138,French Restaurant
Columbus Café,48.836415,2.272953,Coffee Shop
Cafe Louis,48.840762,2.264657,Café
Gary's Café,48.840762,2.264657,Sports Bar
Le Café PC,48.83583,2.27858,Café
Café Lourmel,48.837931,2.281956,Brasserie
Café les Fontaines,48.837918,2.257862,Bar
Gloriette Café,48.843206,2.28291,Brasserie
Croisette Café,48.833662,2.256494,Restaurant
Colombus Café,48.829536,2.263547,Café
Saint Clair Café,48.833647,2.256141,Brasserie
Grand Café de la Mairie,48.801328,2.431602,Brasserie
"Picadeli (Picadeli, bar à salades)",48.796935,2.448463,Salad Restaurant
Café de la Gare,48.802038,2.427567,Bar
Indiana Café,48.779737,2.456953,Mexican Restaurant
Café Funchal,48.807131,2.445862,Portuguese Restaurant
Café Coiffure,48.804899,2.413325,Hair Salon
Le Bar Belge,48.81178,2.429957,Fast Food Restaurant
Café de Chez Nous,48.809694,2.41735,Hotel
Cafe Creme,48.809735,2.417032,Café
Hard Block Café,48.806855,2.410474,Sports and Recreation
Au Roi du Café,48.897409,2.328743,Bar
"Picadeli (Picadeli, bar à salades)",48.897355,2.326041,Salad Restaurant
Cafe Bar Restaurant Moine,48.892989,2.323221,Restaurant
Ernestine Café,48.89113,2.331132,Café
Le Café de la Poste,48.891507,2.335063,Brasserie
Café Hôtel de l'Avenir,48.906112,2.332388,Hotel
Pari's Café,48.892369,2.317335,Brasserie
Mignon Café,48.889644,2.336171,Café
The Terrass' Bar,48.886519,2.333165,Hotel Bar
Café Francoeur,48.889901,2.342524,Bar
Eiffel Café,48.854029,2.288857,Bar
Castel Cafe,48.856945,2.292171,Bar
Le Café le Cordon Bleu,48.852105,2.284976,Café
Le Bar des vedettes,48.858742,2.291765,Bar
Carmine Café,48.851563,2.300528,Pizzeria
Café le Piquet,48.851011,2.300366,Café
Café Beaugrenelle,48.846422,2.285544,Bar
Family Café,48.857145,2.278439,Fast Food Restaurant
Café de l'Homme,48.862211,2.287615,Bar
Terres de Café,48.856948,2.301551,Café
Café de la Gare,48.802038,2.427567,Bar
Café Coiffure,48.804899,2.413325,Hair Salon
Grand Café de la Mairie,48.801328,2.431602,Brasserie
Hard Block Café,48.806855,2.410474,Sports and Recreation
Café de Chez Nous,48.809694,2.41735,Hotel
Cafe Creme,48.809735,2.417032,Café
Le Bar Belge,48.81178,2.429957,Fast Food Restaurant
"Picadeli (Picadeli, bar à salades)",48.796935,2.448463,Salad Restaurant
Café Gambetta,48.814958,2.401899,Café
Café Funchal,48.807131,2.445862,Portuguese Restaurant
T'M Café,48.895781,2.383107,Bar
L'Avenue Café,48.892137,2.379172,Café
Café Rosa,48.897826,2.375655,Bistro
108 Café,48.891065,2.378263,Bar
Indiana Café,48.896289,2.38901,Latin American Restaurant
Café Mama Kin,48.889421,2.38346,Beer Bar
"Picadeli (Picadeli, bar à salades)",48.888682,2.388252,Salad Restaurant
Le Café Jean,48.88778,2.388746,Bar
Café l'Alliance,48.885848,2.382667,Bar
Café de la Musique,48.889149,2.39302,Café
Le Cafe des Dames,48.881715,2.315352,Bistro
Le Dumas (Le Café Dumas),48.882402,2.312153,French Restaurant
Le Café de la Gare,48.887088,2.313444,Café
Felixio Café,48.886649,2.317396,Bistro
Café Dose Paris Batignolles,48.887107,2.317932,Coffee Shop
Café Dad,48.88806,2.311881,Bistro
Café Gabrielle,48.883864,2.305206,Bistro
Café Jacquemart-André,48.875416,2.310587,Café
Café de l'Avenue,48.87511,2.305754,Bar
Indiana Café,48.883725,2.328621,Fast Food Restaurant
Café les Fontaines,48.837918,2.257862,Bar
Gary's Café,48.840762,2.264657,Sports Bar
Cafe Louis,48.840762,2.264657,Café
"Picadeli (Picadeli, bar à salades)",48.845515,2.257889,Salad Restaurant
Croisette Café,48.833662,2.256494,Restaurant
Saint Clair Café,48.833647,2.256141,Brasserie
Garden Café,48.832262,2.252981,Café
Café Poussin,48.849044,2.265794,Brasserie
Columbus Café,48.836415,2.272953,Coffee Shop
Le Pousse Café,48.832065,2.248733,Bar
Bakery Café,48.850862,2.420684,Bakery
"Picadeli (Picadeli, bar à salades)",48.84545,2.43047,Salad Restaurant
Le Montana Bar,48.852697,2.431171,Bar
Les Arômes Café,48.849487,2.418989,Restaurant
Ô Bar Lié,48.853141,2.42181,Dive Bar
Le Paris Cafe,48.846583,2.418601,Café
Birdie's Café,48.85091,2.41779,Bar
"Picadeli (Picadeli, bar à salades)",48.84417,2.431437,Salad Restaurant
Le Grand Café,48.849702,2.417572,Brewery
Le Bougnat Bar,48.846205,2.415964,Café
Restaurant Café India,48.87932,2.39247,Indian Restaurant
Café Parisien,48.882056,2.392755,Café
Le Biclowne Café,48.888546,2.392912,Bar
Café de la Musique,48.889149,2.39302,Café
Le Café Jean,48.88778,2.388746,Bar
Café l'Alliance,48.885848,2.382667,Bar
Botzaris Café,48.875843,2.381841,Brasserie
